fpl_id,opta_id,season_name,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts
186,192290,2016/17,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
186,192290,2017/18,40,40,7,267,0,0,0,4,0,0,0,0,0,0,0,41,26.2,12.8,2.0,4.1,0,0,0,0,0
186,192290,2021/22,45,44,69,1689,1,1,6,23,0,0,0,2,0,0,6,313,302.0,196.3,100.0,59.8,0,0,0,0,0
186,192290,2023/24,45,43,12,817,0,1,0,23,0,0,0,3,1,0,0,111,142.8,104.1,12.0,25.7,0,0,0,0,8
