fpl_id,opta_id,season_name,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts
659,158534,2015/16,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
659,158534,2017/18,45,40,13,188,0,2,1,4,0,0,0,0,0,0,0,73,70.4,48.3,10.0,12.9,0,0,0,0,0
659,158534,2018/19,45,42,28,374,0,3,2,4,0,0,0,1,0,0,4,112,107.4,104.9,20.0,23.1,0,0,0,0,0
659,158534,2019/20,50,44,32,944,0,1,2,12,0,0,0,1,0,0,2,194,168.2,108.6,48.0,32.2,0,0,0,0,0
659,158534,2020/21,45,47,93,2646,0,3,9,41,0,0,0,4,0,0,7,498,497.6,262.2,316.0,107.5,0,0,0,0,0
659,158534,2021/22,50,48,82,2630,1,3,6,49,0,0,0,5,0,0,7,481,481.8,376.9,425.0,128.0,0,0,0,0,0
659,158534,2022/23,45,44,56,2650,1,0,3,58,0,0,0,4,0,0,2,335,420.6,279.5,219.0,91.9,0,0,0,0,30
659,158534,2024/25,45,42,54,2918,0,3,2,77,0,0,0,5,0,0,3,240,503.8,406.8,237.0,114.4,0,0,0,153,33
