fpl_id,opta_id,season_name,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts
440,216051,2018/19,55,53,27,1009,0,2,1,18,0,0,0,3,0,0,0,171,184.4,259.0,94.0,53.7,0,0,0,0,0
440,216051,2019/20,50,49,4,65,0,0,0,1,0,0,0,0,0,0,0,10,10.4,4.3,6.0,1.9,0,0,0,0,0
440,216051,2020/21,50,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
440,216051,2021/22,45,42,54,1797,0,0,5,29,0,0,0,4,0,0,5,382,411.0,286.1,126.0,82.2,0,0,0,0,0
440,216051,2022/23,45,48,102,2152,1,2,10,34,0,0,0,6,0,0,19,502,483.8,421.4,283.0,118.8,0,0,0,0,24
440,216051,2023/24,50,52,111,3174,2,3,8,55,0,0,0,4,1,0,13,662,738.6,590.8,212.0,154.4,0,0,0,0,35
440,216051,2024/25,50,50,95,2812,0,4,8,45,0,0,0,5,0,0,9,352,493.2,434.2,264.0,118.6,0,0,0,178,31
