fpl_id,opta_id,season_name,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts
466,458249,2024/25,70,65,64,1385,3,2,3,24,0,0,0,2,0,0,6,216,222.6,212.0,351.0,78.0,0,0,0,89,14
466,458249,2025/26,60,58,42,607,2,1,2,8,0,0,0,3,0,0,6,146,164.4,177.7,245.0,58.3,14,21,9,44,5
