fpl_id,opta_id,season_name,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts
302,50093,2009/10,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
302,50093,2018/19,40,40,15,360,0,0,1,5,0,0,0,0,0,14,2,76,89.2,0.0,0.0,8.9,0,0,0,0,0
302,50093,2019/20,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
302,50093,2020/21,40,39,2,90,0,0,0,2,0,0,0,0,0,4,0,18,23.4,0.0,0.0,2.3,0,0,0,0,0
