fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
9,1,1,2026-08-21T19:00:00Z,True,7,Coventry City,3,0,False,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.5,0.0,0.1,0,0,0,0,1,55,165924,0,0,0
9,20,2,2026-08-31T19:00:00Z,False,2,Aston Villa,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,145234,3910,41046,-37136
9,29,3,2026-09-06T15:30:00Z,True,6,Chelsea,2,1,False,23,0,0,0,0,0,0,0,0,0,0,0,0,3,6.0,0.5,2.0,0.9,2,0,1,3,1,54,119369,4425,35641,-31216
