fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
611,20,2,2026-08-31T19:00:00Z,True,1,Arsenal,0,1,False,12,0,0,0,0,0,0,0,0,0,0,0,0,4,3.6,0.8,0.0,0.4,0,0,2,2,1,45,4588,1549,166,1383
611,25,3,2026-09-05T16:30:00Z,False,11,Hull City,0,0,False,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2.8,0.9,0.0,0.4,1,0,0,1,1,45,15829,6633,1621,5012
611,31,4,2026-09-12T14:00:00Z,True,18,Nott'm Forest,1,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,11,26.0,13.3,0.0,3.9,7,1,5,12,3,45,19667,4076,2234,1842
611,48,5,2026-09-19T11:30:00Z,False,19,Spurs,2,3,False,45,1,0,0,0,0,0,0,0,0,0,0,0,6,10.4,1.4,0.0,1.2,4,0,2,6,1,45,23660,4595,2312,2283
