fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
199,3,1,2026-08-22T14:00:00Z,False,9,Everton,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,45,10987,0,0,0
199,11,2,2026-08-28T19:00:00Z,True,15,Man City,1,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,45,11403,468,1376,-908
199,24,3,2026-09-05T14:00:00Z,False,10,Fulham,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,45,11282,648,1294,-646
199,34,4,2026-09-12T14:00:00Z,True,12,Ipswich Town,2,3,False,90,1,0,0,0,3,0,0,0,0,0,3,0,3,18.8,0.0,0.0,1.9,1,7,0,0,2,45,11338,563,952,-389
199,44,5,2026-09-20T13:00:00Z,False,13,Leeds,0,0,False,90,1,0,0,1,0,0,0,0,0,0,2,0,26,18.6,0.0,0.0,1.9,1,4,0,0,6,45,12323,1413,795,618
